CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,Visualizzazioni di pagina,Visualizzazioni di pagina uniche,Tempo medio sulla pagina,Accessi,Gender,Age,Device,,,,,,
C10001,40.900749,0.818182,95.4,0,1267,883,42,861,0,2,2,,,,,,
C10002,3202.467416,0.909091,0,0,1267,883,43,861,0,2,2,,,,,,
C10003,2495.148862,1,773.17,773.17,1267,883,44,861,0,2,2,,,,,,
C10004,1666.670542,0.636364,1499,1499,1267,883,45,861,0,2,2,,,,,,
C10005,817.714335,1,16,16,1267,883,46,861,0,2,2,,,,,,
C10006,1809.828751,1,1333.28,0,1267,883,47,861,0,2,2,,,,,,
C10007,627.260806,1,7091.01,6402.63,1267,883,48,861,0,2,2,,,,,,
C10008,1823.652743,1,436.2,0,1267,883,49,861,0,2,2,,,,,,
C10009,1014.926473,1,861.49,661.49,1267,883,50,861,0,2,2,,,,,,
C10010,152.225975,0.545455,1281.6,1281.6,1267,883,51,861,0,2,2,,,,,,
C10011,1293.124939,1,920.12,0,1267,883,52,861,0,2,2,,,,,,
C10012,630.794744,0.818182,1492.18,1492.18,1267,883,53,861,0,2,2,,,,,,
C10013,1516.92862,1,3217.99,2500.23,1267,883,54,861,0,2,2,,,,,,
C10014,921.693369,1,2137.93,419.96,1267,883,55,861,0,2,2,,,,,,
C10015,2772.772734,1,0,0,1267,883,56,861,0,2,2,,,,,,
C10016,6886.213231,1,1611.7,0,1267,883,57,861,0,2,2,,,,,,
C10017,2072.074354,875,0,0,1267,883,58,861,0,2,2,,,,,,
C10018,41.089489,0.454545,519,0,1267,883,59,861,0,2,2,,,,,,
C10019,1989.072228,1,504.35,166,1267,883,60,861,0,2,2,,,,,,
C10020,3577.970933,1,398.64,0,1267,883,61,861,0,2,2,,,,,,
C10021,2016.684686,1,176.68,0,1267,883,62,861,0,2,2,,,,,,
C10022,6369.531318,1,6359.95,5910.04,1267,883,63,861,0,2,2,,,,,,
C10023,132.34224,0.636364,815.9,0,1267,883,64,861,0,2,2,,,,,,
C10024,3800.151377,0.818182,4248.35,3454.56,1267,883,65,861,0,2,2,,,,,,
C10025,5368.571219,1,0,0,1267,883,66,861,0,2,2,,,,,,
C10026,169.781679,1,399.6,0,1267,883,67,861,0,2,2,,,,,,
C10027,1615.96724,1,102,102,1267,883,68,861,0,2,2,,,,,,
C10028,125.694817,1,233.28,0,1267,883,69,861,0,2,2,,,,,,
C10029,7152.864372,1,387.05,204.55,1267,883,70,861,0,2,2,,,,,,
C10030,22.06349,1,100,0,1267,883,71,861,0,2,2,,,,,,
C10031,12136.21996,1,3038.01,1013.2,1267,883,72,861,0,2,2,,,,,,
C10032,1162.273324,1,1347.71,400,1267,883,73,861,0,2,2,,,,,,
C10033,6732.823064,1,324.95,324.95,1267,883,74,861,0,2,2,,,,,,
C10034,125.660453,1,636.79,636.79,1267,883,75,861,0,2,2,,,,,,
C10035,3517.101616,0.727273,547.28,0,1267,883,76,861,0,2,2,,,,,,
C10036,1656.350781,1,0,0,1267,883,77,861,0,2,2,,,,,,
C10037,7427.076941,1,0,0,1267,883,78,861,0,2,2,,,,,,
C10038,4047.480828,1,2380.55,1642.17,1267,883,79,861,0,2,2,,,,,,
C10039,6269.418144,1,204,204,1267,883,80,861,0,2,2,,,,,,
C10040,1411.60223,0.454545,963.24,963.24,1267,883,81,861,0,2,2,,,,,,
C10041,663.44781,0.727273,0,0,1267,883,82,861,0,2,2,,,,,,
C10043,784.889762,0.909091,1526.59,786.3,1267,883,83,861,0,2,2,,,,,,
C10044,4104.710798,1,203.82,203.82,1267,883,84,861,0,2,2,,,,,,
C10045,1360.742377,1,0,0,1267,883,85,861,0,2,2,,,,,,
C10046,5315.945594,1,1525.44,469.8,1267,883,86,861,0,2,2,,,,,,
C10047,2242.311686,1,437,97,1267,883,87,861,0,2,2,,,,,,
C10048,474.447149,0.5,109.74,0,1267,883,88,861,0,2,2,,,,,,
C10049,3910.111237,1,0,0,1267,883,89,861,0,2,2,,,,,,
C10050,229.867179,1,2390.6,1402.93,1267,883,90,861,0,2,2,,,,,,
C10051,863.809833,1,507.5,507.5,1267,883,91,861,0,2,2,,,,,,
C10052,4931.331857,1,901.42,646.07,1267,883,92,861,0,2,2,,,,,,
C10053,1078.888565,1,3107.85,2221.74,1267,883,93,861,0,2,2,,,,,,
C10054,1565.681099,1,0,0,1267,883,94,861,0,2,2,,,,,,
C10055,464.674156,0.888889,1979.22,1979.22,1267,883,95,861,0,2,2,,,,,,
C10056,6.660517,0.636364,310,0,1267,883,96,861,0,2,2,,,,,,
C10057,1311.995984,1,1283.9,1283.9,1267,883,97,861,0,2,2,,,,,,
C10058,3625.218146,1,313.27,313.27,1267,883,98,861,0,2,2,,,,,,
C10059,2386.330629,1,5217.62,4789.09,1267,883,99,861,0,2,2,,,,,,
C10060,3971.138765,1,0,0,1267,883,100,861,0,2,2,,,,,,
C10061,5493.90406,1,229,0,1267,883,101,861,0,2,2,,,,,,
C10062,1879.114033,0.727273,113,113,1267,883,102,861,0,2,2,,,,,,
C10063,1555.793701,1,66.2,66.2,1267,883,103,861,0,2,2,,,,,,
C10064,809.582978,0.909091,0,0,1267,883,104,861,0,2,2,,,,,,
C10065,7.152356,0.090909,840,840,1267,883,105,861,0,2,2,,,,,,
C10067,1923.886805,1,1887.64,0,1267,883,106,861,0,2,2,,,,,,
C10068,1758.059987,1,412.33,325.21,1267,883,107,861,0,2,2,,,,,,
C10069,809.847455,875,0,0,1267,883,108,861,0,2,2,,,,,,
C10070,1576.305029,1,0,0,1267,883,109,861,0,2,2,,,,,,
C10071,3990.523579,1,263.5,190.6,1267,883,110,861,0,2,2,,,,,,
C10072,1699.435486,1,1363.69,1363.69,1267,883,111,861,0,2,2,,,,,,
C10073,5487.683724,1,419.1,0,1267,883,112,861,0,2,2,,,,,,
C10074,2990.422186,0.909091,4523.27,1664.09,1267,883,113,861,0,2,2,,,,,,
C10075,656.01301,1,0,0,1267,883,114,861,0,2,2,,,,,,
C10077,1808.972419,1,713.9,503.08,1267,883,115,861,0,2,2,,,,,,
C10078,532.334517,0.909091,791.94,516.64,1267,883,116,861,0,2,2,,,,,,
C10079,5860.433624,1,561.87,249.5,1267,883,117,861,0,2,2,,,,,,
C10080,1727.638449,1,606.11,606.11,1267,883,118,861,0,2,2,,,,,,
C10081,578.809679,1,320,0,1267,883,119,861,0,2,2,,,,,,
C10082,1205.716678,1,0,0,1267,883,120,861,0,2,2,,,,,,
C10083,6593.820644,1,388.66,388.66,1267,883,121,861,0,2,2,,,,,,
C10084,17.357563,0.909091,244.85,40.21,1267,883,122,861,0,2,2,,,,,,
C10085,81.584711,0.272727,0,0,1267,883,123,861,0,2,2,,,,,,
C10086,3.78631,0.636364,133.05,28.2,1267,883,124,861,0,2,2,,,,,,
C10087,42.46443,0.545455,396,0,1267,883,125,861,0,2,2,,,,,,
C10088,1935.362486,1,4915.6,4515.34,1267,883,126,861,0,2,2,,,,,,
C10089,134.917202,1,1247.8,1247.8,1267,883,127,861,0,2,2,,,,,,
C10090,7069.950386,1,1603.78,1445.14,1267,883,128,861,0,2,2,,,,,,
C10092,8181.251131,1,2258.01,1318.78,1267,883,129,861,0,2,2,,,,,,
C10093,4037.305658,1,45,45,1267,883,130,861,0,2,2,,,,,,
C10094,6110.265264,1,0,0,1267,883,131,861,0,2,2,,,,,,
C10095,9381.255094,1,5100.07,1147.83,1267,883,132,861,0,2,2,,,,,,
C10096,1977.00709,1,1032.04,226.9,1267,883,133,861,0,2,2,,,,,,
C10097,1321.47608,1,45.65,45.65,1267,883,134,861,0,2,2,,,,,,
C10098,1307.717841,1,405.6,405.6,1267,883,135,861,0,2,2,,,,,,
C10099,2329.485768,1,213.34,213.34,1267,883,136,861,0,2,2,,,,,,
C10100,1139.782882,1,0,0,1267,883,137,861,0,2,2,,,,,,
C10101,1619.955708,1,739.44,739.44,1267,883,138,861,0,2,2,,,,,,
C10102,3505.671311,1,0,0,1267,883,139,861,0,2,2,,,,,,
C10103,4.708041,0.363636,79,0,1267,883,140,861,0,2,2,,,,,,
C10104,0,0,0,0,1267,883,141,861,0,2,2,,,,,,
C10105,4.875885,0.666667,20,20,1267,883,142,861,0,2,2,,,,,,
C10106,23.394411,0.272727,1346.28,0,1267,883,143,861,0,2,2,,,,,,
C10107,3539.801912,1,2823.8,1540.41,1267,883,144,861,0,2,2,,,,,,
C10108,0.62424,0.090909,389.96,0,1267,883,145,861,0,2,2,,,,,,
C10109,862.07238,1,0,0,1267,883,146,861,0,2,2,,,,,,
C10110,2441.542991,1,808,808,1267,883,147,861,0,2,2,,,,,,
C10111,408.656365,1,941.64,0,1267,883,148,861,0,2,2,,,,,,
C10112,4986.400804,1,0,0,1267,883,149,861,0,2,2,,,,,,
C10113,1246.624558,1,423.7,177.64,1267,883,150,861,0,2,2,,,,,,
C10114,6644.201651,1,4478.75,2721.59,1267,883,151,861,0,2,2,,,,,,
C10115,156.216753,0.818182,1354.86,585.63,1267,883,152,861,0,2,2,,,,,,
C10116,3393.351236,1,0,0,1267,883,153,861,0,2,2,,,,,,
C10117,5322.994094,1,2812.2,857.12,1267,883,154,861,0,2,2,,,,,,
C10118,6458.56209,1,0,0,1267,883,155,861,0,2,2,,,,,,
C10119,175.341651,0.818182,1508.9,1252.36,1267,883,156,861,0,2,2,,,,,,
C10120,680.195157,1,1045.57,667.95,1267,883,157,861,0,2,2,,,,,,
C10121,223.763616,0.636364,2309.78,0,1267,883,158,861,0,2,2,,,,,,
C10122,1785.626943,1,0,0,1267,883,159,861,0,2,2,,,,,,
C10123,54.933231,0.272727,495,0,1267,883,160,861,0,2,2,,,,,,
C10124,2662.629852,1,0,0,1267,883,161,861,0,2,2,,,,,,
C10125,8504.876253,1,6724.26,4100.08,1267,883,162,861,0,2,2,,,,,,
