# ----------------------------------------
# Sluurpy
# Pagine
# 20210601-20210630
# ----------------------------------------

Pagina,Tipo di traffico,Visualizzazioni di pagina,Visualizzazioni di pagina uniche,Tempo medio sulla pagina,Accessi,Frequenza di rimbalzo,% uscita,Valore pagina
/bologna/ristorante/103/la-pantera-rosa,organic,12,6,00:00:04,6,"0,00%","50,00%","0,00 USD"
/bologna/ristorante/109059/pars-ristorante-persiano,organic,12,6,00:00:07,0,"0,00%","50,00%","0,00 USD"
/bologna/ristorante/109059/pars-ristorante-persiano/richiestamenu,organic,6,6,00:00:06,0,"0,00%","0,00%","0,00 USD"
/bologna/ristorante/109072/gelateria-fini,organic,137,99,00:00:30,99,"0,00%","54,74%","0,00 USD"
/bologna/ristorante/109072/gelateria-fini/richiestamenu,organic,62,31,00:00:37,0,"0,00%","19,35%","0,00 USD"
/bologna/ristorante/109073/trattoria-da-me,organic,435,261,00:00:10,249,"0,00%","35,63%","0,00 USD"
/bologna/ristorante/109083/il-posto,organic,6,6,00:00:00,6,"0,00%","100,00%","0,00 USD"
/bologna/ristorante/109086/ristorante-greco-delogo,organic,37,19,00:02:06,12,"0,00%","32,43%","0,00 USD"
/bologna/ristorante/109086/ristorante-greco-delogo/richiestamenu,organic,6,6,00:00:05,0,"0,00%","0,00%","0,00 USD"
/bologna/ristorante/109102/ristorante-oberdan-da-mario,organic,25,25,00:00:04,19,"0,00%","24,00%","0,00 USD"
/bologna/ristorante/109117/ristorante-greco-vikos,organic,6,6,00:00:00,6,"0,00%","100,00%","0,00 USD"
/bologna/ristorante/109132/e-cucina-leopardi,organic,50,37,00:05:11,37,"0,00%","62,00%","0,00 USD"
/bologna/ristorante/109132/e-cucina-leopardi/recensioni,organic,6,6,00:00:00,0,"0,00%","100,00%","0,00 USD"
/bologna/ristorante/109153/ristorante-pizzeria-la-verace,organic,6,6,00:00:05,6,"0,00%","0,00%","0,00 USD"
/bologna/ristorante/109154/il-veliero,organic,87,50,00:00:12,50,"0,00%","42,53%","0,00 USD"
/bologna/ristorante/109154/il-veliero/richiestamenu,organic,44,31,00:00:18,0,"0,00%","27,27%","0,00 USD"
/bologna/ristorante/109166/incrocio-montegrappa,organic,19,12,00:00:12,12,"0,00%","63,16%","0,00 USD"
/bologna/ristorante/109166/incrocio-montegrappa/richiestamenu,organic,6,6,00:00:19,0,"0,00%","0,00%","0,00 USD"
/bologna/ristorante/109175/trattoria-pizzeria-belle-arti,organic,19,12,00:00:04,12,"0,00%","63,16%","0,00 USD"
/bologna/ristorante/109180/marsalino,organic,44,37,00:00:10,37,"0,00%","56,82%","0,00 USD"
/bologna/ristorante/109180/marsalino/richiestamenu,organic,12,12,00:12:03,0,"0,00%","50,00%","0,00 USD"
/bologna/ristorante/109215/il-tari,organic,12,12,00:00:10,12,"0,00%","50,00%","0,00 USD"
/bologna/ristorante/109215/il-tari/richiestamenu,organic,6,6,00:00:00,0,"0,00%","100,00%","0,00 USD"
/bologna/ristorante/109259/trattoria-baraldi,organic,19,12,00:00:09,12,"0,00%","31,58%","0,00 USD"
/bologna/ristorante/109259/trattoria-baraldi/richiestamenu,organic,12,12,00:00:49,0,"0,00%","50,00%","0,00 USD"
/bologna/ristorante/109270/i-re-di-napoli,organic,62,44,00:00:16,44,"0,00%","40,32%","0,00 USD"
/bologna/ristorante/109297/ristorante-il-moro,organic,12,12,00:00:00,12,"0,00%","100,00%","0,00 USD"
/bologna/ristorante/109333/la-stella,organic,12,12,00:00:06,12,"0,00%","50,00%","0,00 USD"
/bologna/ristorante/109333/la-stella/richiestamenu,organic,6,6,00:00:18,0,"0,00%","0,00%","0,00 USD"
/bologna/ristorante/109372/la-rosa-blu,organic,25,19,00:00:06,12,"0,00%","48,00%","0,00 USD"
/bologna/ristorante/109391/la-porta-restaurant,organic,19,6,00:00:18,6,"0,00%","31,58%","0,00 USD"
/bologna/ristorante/109395/trattoria-vecchio-mercato,organic,19,19,00:00:00,19,"31,58%","100,00%","0,00 USD"
/bologna/ristorante/109460/fermento,organic,25,25,00:00:14,25,"24,00%","76,00%","0,00 USD"
/bologna/ristorante/109479/ristorante-pizzeria-pepperoni,organic,174,106,00:00:26,106,"0,00%","50,00%","0,00 USD"
/bologna/ristorante/109479/ristorante-pizzeria-pepperoni/richiestamenu,organic,75,62,00:00:29,0,"0,00%","25,33%","0,00 USD"
/bologna/ristorante/109489/trattoria-la-mela,organic,12,6,00:00:05,6,"0,00%","50,00%","0,00 USD"
/bologna/ristorante/109489/trattoria-la-mela/richiestamenu,organic,6,6,00:00:03,0,"0,00%","0,00%","0,00 USD"
/bologna/ristorante/109497/ristorante-pizzeria-caruso,organic,25,19,00:00:06,19,"0,00%","76,00%","0,00 USD"
/bologna/ristorante/109511/trattoria-paradisino,organic,50,37,00:00:48,37,"0,00%","62,00%","0,00 USD"
/bologna/ristorante/109511/trattoria-paradisino/recensioni,organic,19,6,00:00:06,0,"0,00%","0,00%","0,00 USD"
/bologna/ristorante/109567/neaera-lounge-bar,organic,12,12,00:00:03,12,"0,00%","50,00%","0,00 USD"
/bologna/ristorante/109567/neaera-lounge-bar/richiestamenu,organic,12,6,00:00:27,0,"0,00%","50,00%","0,00 USD"
/bologna/ristorante/109573/le-volpi,organic,118,81,00:01:41,81,"0,00%","42,37%","0,00 USD"
